Date, Mean Temperature
2024-01-01, -5.5
2024-01-02, -8.7
2024-01-03, -10.4
2024-01-04, -14.7
2024-01-05, -9.2
2024-01-06, -8.5
2024-01-07, -10.1
2024-01-08, 1.7
2024-01-09, 3.4
2024-01-10, 3.7
2024-01-11, 3.8
2024-01-12, 3.1
2024-01-13, 2.3
2024-01-14, -2.4
2024-01-15, -9.1
2024-01-16, -9.9
2024-01-17, -14.1
2024-01-18, -14.1
2024-01-19, -11.1
2024-01-20, -9.7
2024-01-21, -1.6
2024-01-22, 3.4
2024-01-23, 1.8
2024-01-24, 1.6
2024-01-25, 1.5
2024-01-26, 2.2
2024-01-27, 2.9
2024-01-28, 4.8
2024-01-29, 4.7
2024-01-30, 0.0
2024-01-31, 2.5
2024-02-01, 0.4
2024-02-02, 2.2
2024-02-03, 1.1
2024-02-04, -2.0
2024-02-05, -3.5
2024-02-06, -9.3
2024-02-07, -11.6
2024-02-08, -7.3
2024-02-09, -9.0
2024-02-10, -12.0
2024-02-11, -9.8
2024-02-12, -3.0
2024-02-13, -4.5
2024-02-14, -5.5
2024-02-15, -2.5
2024-02-16, 0.6
2024-02-17, -1.0
2024-02-18, -7.0
2024-02-19, -7.0
2024-02-20, -0.8
2024-02-21, 1.1
2024-02-22, 4.7
2024-02-23, 4.7
2024-02-24, 3.7
2024-02-25, 2.5
2024-02-26, 1.0
2024-02-27, -0.8
2024-02-28, 3.3
2024-02-29, 6.0
2024-03-01, 6.2
2024-03-02, 4.8
2024-03-03, 3.9
2024-03-04, 4.8
2024-03-05, 2.6
2024-03-06, -1.1
2024-03-07, 0.1
2024-03-08, 0.7
2024-03-09, 0.5
2024-03-10, -1.4
2024-03-11, -3.5
2024-03-12, -2.3
2024-03-13, 0.7
2024-03-14, 4.6
2024-03-15, 3.1
2024-03-16, -0.3
2024-03-17, -0.8
2024-03-18, 2.4
2024-03-19, 4.0
2024-03-20, 3.7
2024-03-21, 3.5
2024-03-22, 3.6
2024-03-23, 2.2
2024-03-24, 0.6
2024-03-25, -0.9
2024-03-26, -1.9
2024-03-27, 2.7
2024-03-28, 4.8
2024-03-29, 4.9
2024-03-30, 3.7
2024-03-31, 3.1
2024-04-01, 3.0
2024-04-02, -0.7
2024-04-03, -4.0
2024-04-04, -2.6
2024-04-05, -0.7
2024-04-06, 1.6
2024-04-07, 5.9
2024-04-08, 5.4
2024-04-09, 7.1
2024-04-10, 4.6
2024-04-11, 4.2
2024-04-12, 6.8
2024-04-13, 7.0
2024-04-14, 2.4
2024-04-15, 1.5
2024-04-16, 1.5
2024-04-17, 2.6
2024-04-18, 3.2
2024-04-19, 3.5
2024-04-20, 2.5
2024-04-21, 2.8
2024-04-22, 2.5
2024-04-23, 2.5
2024-04-24, 2.0
2024-04-25, 3.3
2024-04-26, 4.5
2024-04-29, 7.7
2024-05-01, 11.7
2024-05-02, 12.4
2024-05-03, 11.9
2024-05-04, 11.7
2024-05-05, 11.5
2024-05-06, 10.1
2024-05-08, 7.9
2024-05-09, 6.1
2024-05-10, 6.0
2024-05-11, 7.9
2024-05-12, 13.2
2024-05-13, 15.3
2024-05-14, 17.4
2024-05-15, 16.3
2024-05-16, 16.6
2024-05-17, 17.9
2024-05-18, 14.1
2024-05-19, 7.2
2024-05-20, 7.9
2024-05-21, 14.0
2024-05-22, 18.5
2024-05-23, 20.7
2024-05-24, 18.3
2024-05-25, 17.7
2024-05-26, 21.0
2024-05-27, 20.3
2024-05-28, 16.4
2024-05-29, 17.1
2024-05-30, 15.3
2024-05-31, 13.5
2024-06-01, 12.0
2024-06-03, 9.6
2024-06-04, 13.3
2024-06-05, 7.5
2024-06-06, 8.6
2024-06-07, 10.2
2024-06-08, 12.4
2024-06-09, 11.1
2024-06-10, 8.6
2024-06-11, 8.8
2024-06-12, 9.7
2024-06-13, 13.5
2024-06-14, 14.4
2024-06-15, 15.3
2024-06-16, 14.7
2024-06-17, 16.0
2024-06-18, 14.0
2024-06-19, 9.9
2024-06-20, 10.1
2024-06-21, 10.8
2024-06-22, 16.2
2024-06-23, 12.8
2024-06-24, 13.1
2024-06-25, 16.3
2024-06-26, 13.5
2024-06-27, 21.8
2024-06-28, 17.8
2024-06-29, 12.1
2024-06-30, 12.5
2024-07-01, 10.1
